country,w_both_014_tbtotal_nd,i_both_014_tbtotal_nd,absad_a,absad_b,w_both_all_htb_nd,i_both_all_htb_nd,w_both_all_tb_nd,i_both_all_tb_nd,w_both_all_tbtotal_nd,i_both_all_tbtotal_nd,any0
United Kingdom,9.241324592821936,2.79417966211835,326.4769325869834,386.018140725809,38.1172911282941,29.7878084321,297.600966051511,359.02451195582,335.7182571798051,388.81232038792,FALSE
Bosnia and Herzegovina,2.51713688671872,0.12164804942159001,114.14503074855864,136.320350448204,0.73767898753265,1.3779373988,115.924488647745,135.06406109883,116.66216763527764,136.44199849762998,FALSE
Canada,2.616283567264506,0.88027725737125,122.3063112395005,146.3078405051562,19.3095977478179,24.0455823452,105.612997058947,123.14253541733,124.9225948067649,147.18811776253,FALSE
Turkey,108.64532802461797,27.866375021722,642.8604004765573,859.66110190412,14.6336177755263,10.4543597331,736.872110725648,877.07311719273,751.5057285011743,887.52747692583,FALSE
Viet Nam,1804.761281198615,56.985505945833,15342.14220349219,20341.571214881802,1069.91427318717,1990.0533228828,16076.9892115036,18408.503397945,17146.90348469077,20398.5567208278,FALSE
Malawi,1216.625738670542,2238.98519875661,7656.910649881257,8345.94789221119,6557.39562665717,6484.6765592494,2316.14076189463,4100.2565317184,8873.5363885518,10584.9330909678,FALSE
Tonga,0,0.03997881274715,1.321676999999998,1.5549863026481399,0.002898,0.0908942708,1.321677,1.5040708445953,1.324575,1.5949651153953,TRUE
Estonia,0,0.056038082101710004,28.40331996942931,34.5386871976392,3.29081617721751,5.3238568814,25.1125037922118,29.270868398341,28.40331996942931,34.594725279741,TRUE
Grenada,0,0.024977609122359995,1.03308637892463,1.65476073034935,0.306,0.2458335893,1.03308637892463,1.4339047501717,1.3390863789246301,1.6797383394717,TRUE
Korea Republic of,17.523379818538388,8.7462208823209,2596.536765591509,3276.5964489359403,46.1634371721288,61.7939872106,2567.89670823792,3223.5486826077,2614.060145410049,3285.3426698183,FALSE
Oman,6.01986094762479,0.5600367984404099,18.0292311330565,29.7500574804171,0.492914506421559,1.425521712,23.5561775742597,28.884572566857,24.04909208068126,30.310094278857,FALSE
Germany,3.653024588084946,1.25565432305068,340.1462882083949,436.720610503475,25.9462696991892,17.4686452569,317.85304309729,420.50761956963,343.7993127964792,437.97626482653,FALSE
Japan,1.91734744969222,5.1927522374006,3160.5579314138777,4024.551641978657,11.8899241724878,59.1663924998,3150.58535469109,3970.5780017162,3162.475278863578,4029.7443942160003,FALSE
Bulgaria,2.26161915607113,0.1712146425343,88.16325991077366,115.421138383641,0.316316708839864,0.7998295979,90.1085623580049,114.79252342828,90.42487906684477,115.59235302618,FALSE
Andorra,0,9.907814380300001e-4,0.378,0.48473633896881996,0,0.04448087892348,0.378,0.44124624148336,0.378,0.48572712040684,TRUE
Iran Islamic Republic of,155.46827662581083,15.987114545629899,1281.6106806917642,1832.97807330728,70.5203644411422,245.7177627901,1366.55859287643,1603.2474250628,1437.0789573175723,1848.9651878529,FALSE
Central African Republic,556.152982196466,459.214980499114,4382.046840006849,5897.34271109437,2713.50088391587,2227.6156868184,2224.69893828744,4128.9420047751,4938.19982220331,6356.5576915935,FALSE
Lesotho,513.670441989117,928.843215022643,5434.91002730185,6777.33751425877,4769.48550463279,5377.307535423,1179.09496465818,2328.8731938584,5948.5804692909705,7706.180729281401,FALSE
Tunisia,42.2427576124046,4.9972389394118,200.00098175674097,313.22116896282,5.49479405210866,12.3932784354,236.748945317037,305.82512946683,242.24373936914566,318.21840790223,FALSE
Czech Republic,0,0.22628164428565,39.74202468659026,52.264029284490796,0.790598228373759,2.1642509284,38.9514264582165,50.326060000377,39.74202468659026,52.490310928777,TRUE
China,3732.6582232068704,518.24915700061,34252.77201930008,51005.586727199494,2575.88648562279,2601.528995103,35409.5437568842,48922.306889097,37985.43024250699,51523.8358842,FALSE
Vanuatu,2.20951517114253,0.81617732352232,14.6510597323324,22.2235045435839,0,1.5613282849,16.8605749034749,21.478353582206,16.8605749034749,23.039681867106,TRUE
Belgium,3.52934917325229,0.49017922064704,61.20648772118839,88.632667799995,11.1164381693768,8.4325920942,53.6193987250639,80.690254926441,64.7358368944407,89.122847020641,FALSE
Palestinian Territory Occupied,0,0.26126708866733,1.998296757287914,2.5233736089273,0.0116849999999999,0.1024511232,1.99829675728791,2.6821895743946,2.00998175728791,2.7846406975946,TRUE
Italy,12.76975557109004,1.30762703857259,341.216532291321,492.33399353500903,27.7420915359324,24.4732867099,326.244196326479,469.16833386369,353.9862878624114,493.64162057359,FALSE
Uganda,1929.5767624631808,2434.1043501457602,9971.525225304329,14547.6834834003,6360.93861044067,9078.5164749365,5540.16337732685,7903.2713586095,11901.10198776752,16981.787833545997,FALSE
Ecuador,36.84413741013017,24.370246051048003,758.8713654305784,1117.24999105096,302.32214361921,258.953896848,493.393359221498,882.66634025401,795.715502840708,1141.62023710201,FALSE
Bahrain,0,0.08643208538356,6.012808315958989,10.7640187208713,1.54357589140248,0.644601496,6.01280831595899,10.205849310255,7.55638420736147,10.850450806255,TRUE
United Arab Emirates,5.45303527257512,0.25628670720288,37.1488345137947,64.3710524683097,2.04034914657262,3.0207515891,42.6018697863698,61.606587586412,44.64221893294241,64.62733917551199,FALSE
Australia,2.02905158524527,0.5180992809799401,46.016931933964145,69.1789356833917,3.80900008697161,3.3813423499,44.2369834322378,66.315692614471,48.04598351920941,69.697034964371,FALSE
American Samoa,0,0.01168637424437,0.377621999999999,0.54324787495985,6.11999999999999e-4,0.02730946587,0.377622,0.52762478333423,0.378234,0.5549342492042301,TRUE
United States,20.207994989851258,7.9434745126867,642.1238568495766,965.7937709390781,76.9178441500923,120.9260330966,585.414007689335,852.81121235517,662.3318518394273,973.73724545177,FALSE
Kiribati,9.78388977154404,1.8654192239864,20.186608603419643,43.311090065829994,0.527841477546978,0.2216886765,29.9704983749637,44.954820613317,30.49833985251068,45.176509289817,FALSE
Montenegro,0,0.01430133248236,2.8722833854757206,4.2561680707384,0.298958642122241,0.0499561833,2.57332474335348,4.2205132199208,2.872283385475721,4.2704694032208,TRUE
Spain,8.80106286860943,1.71393967190924,309.1044118059567,471.279004880892,53.6648308599896,65.0103441492,264.240643814576,407.9826004036,317.9054746745656,472.99294455279994,FALSE
Chile,3.8891699329508,5.564662977676569,483.18957493221893,720.4059036573851,19.634387025829,207.2977189023,467.444357839341,518.67284773277,487.07874486517005,725.9705666350701,FALSE
Denmark,0,0.12480379679367,21.353804755526106,32.3727741759969,1.40217749766751,1.8046352844,19.9516272578586,30.69294268839,21.35380475552611,32.497577972790005,TRUE
Iraq,79.9132106950275,51.317100533028,778.251706533839,1268.7612523133298,5.54125298591048,0.8808855567,858.164917228866,1319.1974672897,863.7061702147764,1320.0783528463999,FALSE
Finland,1.44657243388559,0.12203240668620001,36.56224730481745,58.625723172783,0.821507351368215,1.2181939922,37.1873123873348,57.529561587269,38.00881973870301,58.747755579469,FALSE
New Zealand,0.436886234099705,0.13840801088271001,9.90692435519172,16.2702582750165,0.19875909090909,0.9115754024,10.1450514983823,15.497090883499,10.34381058929139,16.408666285899,FALSE
Swaziland,173.8803680314979,397.179687182239,1769.6129863144752,2691.81288625623,1547.80820458387,2292.1346536467,395.685149762106,796.85791979176,1943.493354345976,3088.9925734384597,FALSE
South Sudan,578.2834414581308,604.3340527468,3617.6829926943683,6102.27600477651,756.888917633166,1111.4633305131,3439.07751651933,5595.1467270102,4195.966434152496,6706.6100575233,FALSE
Serbia,1.58105292067774,0.62614882219817,110.94261263876436,180.000263947186,4.90701995225984,18.25521550762,107.616645607182,162.37119726176,112.52366555944184,180.62641276937998,FALSE
Argentina,54.08431281660582,37.361071944051204,751.9908486553556,1258.45158855974,104.60692149609,692.2346203186,701.468239975871,603.57804018519,806.075161471961,1295.81266050379,FALSE
Ireland,0,0.23963156913326,19.368333818652523,32.1292617323391,2.47835291267203,4.2438364378,16.8899809059805,28.125056863672,19.36833381865253,32.368893301472,TRUE
Philippines,727.4867317429301,507.34302959701,13302.31966730877,22958.0700332494,439.5,87.0591622265,13590.3063990517,23378.35390062,14029.8063990517,23465.4130628465,FALSE
Switzerland,0.361590126620398,0.15076695820815,20.335632569888148,35.2884272103707,4.34430209720392,1.541710542,16.3529205993046,33.897483626579,20.69722269650852,35.439194168579,FALSE
Israel,0,0.40053464501419,18.11863461421604,31.246161373124302,2.47648873111891,2.2789080767,15.6421458830971,29.367787941438,18.11863461421601,31.646696018137998,TRUE
Ethiopia,4176.263790427965,4323.759831102359,25194.000466411228,47696.5836469562,3929.10795272158,8267.461444525,25441.1563041176,43752.882033534,29370.264256839182,52020.343478059,FALSE
Namibia,175.4494169645938,345.57134632680595,1488.6355400646019,2636.24503440377,880.671376398694,1824.8590521995,783.413580630502,1156.9573285311,1664.084957029196,2981.8163807306,FALSE
Burundi,469.23549381813933,748.49849581121,2865.220672771313,5244.54552225044,659.236632034827,1299.5276400016,2675.21953455462,4693.5163780601,3334.456166589447,5993.0440180617,FALSE
